494 , 216
494 , 220
493 , 222
493 , 222
497 , 226
497 , 226
497 , 226
504 , 226
505 , 231
505 , 231
507 , 231
505 , 231
506 , 236
489 , 236
495 , 236
502 , 231
509 , 231
509 , 229
517 , 229
516 , 225
516 , 225
514 , 225
514 , 225
510 , 225
489 , 225
497 , 229
496 , 225
496 , 225
504 , 229
483 , 225
486 , 225
486 , 225
487 , 225
490 , 221
487 , 221
487 , 225
489 , 227
495 , 227
495 , 227
501 , 222
504 , 226
503 , 222
485 , 221
488 , 220
488 , 216
487 , 222
491 , 220
490 , 222
493 , 222
481 , 222
484 , 222
484 , 222
486 , 222
485 , 224
486 , 224
473 , 225
478 , 222
480 , 224
482 , 224
480 , 224
487 , 225
494 , 223
491 , 224
491 , 224
494 , 223
494 , 223
498 , 228
500 , 228
482 , 228
483 , 224
485 , 228
491 , 228
491 , 228
492 , 228
492 , 224
492 , 228
494 , 228
499 , 228
499 , 226
504 , 228
501 , 228
504 , 228
491 , 228
491 , 224
491 , 228
494 , 223
496 , 223
500 , 223
498 , 222
497 , 223
500 , 223
483 , 220
486 , 218
488 , 224
491 , 217
488 , 222
496 , 223
494 , 223
494 , 219
497 , 223
497 , 223
498 , 226
497 , 223
506 , 223
504 , 228
506 , 227
504 , 228
505 , 232
509 , 232
516 , 232
513 , 228
513 , 228
509 , 228
517 , 226
517 , 226
518 , 224
515 , 229
497 , 231
478 , 231
481 , 235
481 , 235
487 , 233
488 , 233
488 , 233
494 , 233
493 , 231
500 , 231
503 , 231
501 , 231
481 , 231
488 , 231
488 , 231
494 , 231
496 , 231
498 , 231
496 , 231
500 , 231
503 , 231
503 , 231
506 , 226
511 , 231
507 , 227
512 , 225
513 , 229
517 , 229
517 , 229
517 , 229
517 , 231
521 , 231
519 , 231
521 , 231
525 , 231
504 , 231
504 , 231
504 , 231
505 , 235
507 , 231
508 , 236
508 , 236
508 , 236
512 , 236
515 , 231
521 , 231
526 , 229
526 , 229
526 , 229
523 , 229
523 , 229
523 , 229
523 , 229
519 , 229
526 , 229
523 , 231
523 , 231
523 , 231
521 , 226
523 , 231
527 , 231
527 , 231
523 , 231
519 , 226
521 , 226
523 , 231
518 , 228
518 , 228
517 , 226
521 , 231
520 , 233
516 , 233
516 , 233
516 , 233
516 , 233
516 , 233
518 , 233
516 , 228
516 , 228
516 , 228
516 , 228
516 , 228
516 , 228
516 , 228
516 , 228
516 , 228
516 , 228
516 , 228
521 , 228
